Epoch,Joint,Rec,KLD
556,214.872,0.294,0.489
557,214.495,0.293,0.487
558,215.245,0.295,0.485
559,216.018,0.296,0.483
560,216.516,0.297,0.488
561,216.034,0.296,0.488
562,215.797,0.296,0.483
563,214.542,0.294,0.488
564,215.103,0.295,0.486
565,215.198,0.296,0.478
566,214.207,0.295,0.481
567,213.939,0.294,0.477
568,213.661,0.294,0.479
569,214.077,0.295,0.480
570,214.988,0.297,0.476
571,213.257,0.294,0.473
572,213.498,0.295,0.478
573,213.085,0.294,0.476
574,213.121,0.295,0.474
575,214.025,0.296,0.476
576,214.822,0.297,0.479
577,213.045,0.295,0.473
578,211.635,0.293,0.473
579,213.264,0.296,0.470
580,212.710,0.295,0.471
581,211.860,0.294,0.473
582,211.562,0.294,0.473
583,212.750,0.296,0.470
584,211.629,0.294,0.473
585,210.544,0.293,0.468
586,211.442,0.295,0.465
587,213.171,0.297,0.467
588,210.212,0.293,0.467
589,211.266,0.295,0.463
590,211.042,0.295,0.473
591,209.291,0.292,0.466
592,209.102,0.292,0.462
593,209.115,0.292,0.468
594,209.573,0.293,0.465
595,209.163,0.293,0.462
596,209.032,0.293,0.461
597,208.869,0.293,0.461
598,209.927,0.295,0.458
599,209.347,0.294,0.459
600,208.184,0.293,0.462
601,207.864,0.292,0.460
602,207.702,0.292,0.460
603,207.567,0.292,0.458
604,207.477,0.293,0.454
605,207.974,0.293,0.461
606,206.988,0.292,0.455
607,207.574,0.293,0.457
608,206.885,0.292,0.452
609,207.402,0.293,0.449
610,209.521,0.297,0.455
611,207.796,0.294,0.455
612,206.187,0.292,0.449
613,206.179,0.292,0.453
614,207.855,0.295,0.450
615,205.374,0.291,0.455
616,206.057,0.293,0.449
617,206.998,0.294,0.453
618,205.967,0.293,0.452
619,205.152,0.292,0.450
620,204.756,0.292,0.447
621,206.064,0.294,0.449
622,205.674,0.293,0.447
623,204.510,0.292,0.448
624,205.241,0.293,0.451
625,204.319,0.292,0.445
626,204.261,0.292,0.447
627,203.486,0.291,0.450
628,205.261,0.294,0.441
629,203.444,0.291,0.444
630,203.298,0.291,0.443
631,206.304,0.296,0.442
632,204.838,0.294,0.440
633,203.352,0.292,0.442
634,204.423,0.294,0.441
635,203.721,0.293,0.444
636,202.654,0.292,0.444
637,202.826,0.292,0.443
638,203.634,0.294,0.442
